dataset_version,cycle,matrix,analyte,sex,age_group,units,weight_column,n,p50,p75,p90,p95,p99
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOA_TOTAL,Female,20-39,ng/mL,WTSB2YR,270,0.8700000000000001,1.47,2.0755964936186477,2.5169612961795105,4.712111245584933
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOA_TOTAL,Female,40-59,ng/mL,WTSB2YR,258,1.27,1.97,3.2680505663926276,4.757611387747584,10.436198263708627
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOA_TOTAL,Female,60+,ng/mL,WTSB2YR,300,1.77,2.4699999999999998,3.413242392380458,4.37,5.557889218101363
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOA_TOTAL,Female,<20,ng/mL,WTSB2YR,149,1.07,1.47,2.0421083459230363,2.3699999999999997,3.5691182547639992
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOA_TOTAL,Male,20-39,ng/mL,WTSB2YR,229,1.47,2.07,2.5143607751222192,3.1746724301654226,5.750639273601717
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOA_TOTAL,Male,40-59,ng/mL,WTSB2YR,255,1.57,2.27,3.4699999999999998,4.17,7.8913029766854255
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOA_TOTAL,Male,60+,ng/mL,WTSB2YR,304,1.97,2.77,3.72197644981774,4.4749218904973525,6.897447383036329
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOA_TOTAL,Male,<20,ng/mL,WTSB2YR,164,1.1700000000000002,1.6700000000000002,2.1,2.395242502610408,4.55161065642521
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOS_TOTAL,Female,20-39,ng/mL,WTSB2YR,270,2.6,3.6,5.5,7.4,10.25024467117493
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOS_TOTAL,Female,40-59,ng/mL,WTSB2YR,258,3.592609057467674,5.684464999413695,8.737651677384424,12.983326910523976,30.374042885588747
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOS_TOTAL,Female,60+,ng/mL,WTSB2YR,300,5.7,9.1,13.645657381721968,17.557665892983252,33.71625200128161
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOS_TOTAL,Female,<20,ng/mL,WTSB2YR,149,2.2,3.0,4.807772715044575,6.035920758588178,10.702323971017382
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOS_TOTAL,Male,20-39,ng/mL,WTSB2YR,229,4.633574335428786,7.1,9.167932171330937,10.062873809463296,13.859516388358609
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOS_TOTAL,Male,40-59,ng/mL,WTSB2YR,255,5.699999999999999,9.2,11.4,14.058043113203778,19.954540418683997
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOS_TOTAL,Male,60+,ng/mL,WTSB2YR,304,9.061185799489465,13.2,18.0,23.303888107375183,37.421661092126676
NHANES_J_WEIGHTED_STRATIFIED_V1,2017_2018,serum,PFOS_TOTAL,Male,<20,ng/mL,WTSB2YR,164,2.925171889985472,4.1,6.2,7.289830079254309,15.416332050287094
