cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,n_pfoa,LBXNFOA,all,12-19,353,0.0028328611898017,False,,0.5,0.6,0.8,1.1,1.5,2.1800000000000015,2.7
I,2015_2016,n_pfoa,LBXNFOA,all,20-39,549,0.014571948998178506,False,,0.3,0.4,0.8,1.3,1.9,2.7,3.4
I,2015_2016,n_pfoa,LBXNFOA,all,40-59,555,0.005405405405405406,False,,0.4,0.6,1.0,1.5,2.3,3.3,4.1299999999999955
I,2015_2016,n_pfoa,LBXNFOA,all,60_plus,536,0.007462686567164179,False,,0.6,0.8,1.3,1.9,2.8,4.0,5.1
I,2015_2016,n_pfoa,LBXNFOA,all,all_ages,1993,0.008028098344204716,False,,0.4,0.6,0.9,1.4,2.2,3.2,4.039999999999986
I,2015_2016,n_pfoa,LBXNFOA,female,12-19,159,0.0,False,,0.5,0.6,0.7,0.9,1.3,2.020000000000002,2.4
I,2015_2016,n_pfoa,LBXNFOA,female,20-39,279,0.017921146953405017,False,,0.2,0.3,0.6,0.9,1.4,2.2,2.7
I,2015_2016,n_pfoa,LBXNFOA,female,40-59,308,0.003246753246753247,False,,0.4,0.5,0.8,1.3,1.9249999999999998,3.1300000000000012,4.029999999999995
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,283,0.007067137809187279,False,,0.6,0.8,1.2,1.9,2.8,4.080000000000001,6.369999999999994
I,2015_2016,n_pfoa,LBXNFOA,female,all_ages,1029,0.007774538386783284,False,,0.3,0.5,0.7,1.2,2.0,3.1,4.0
I,2015_2016,n_pfoa,LBXNFOA,male,12-19,194,0.005154639175257732,False,,0.6,0.7300000000000001,1.0,1.2,1.6,2.3400000000000034,2.769999999999999
I,2015_2016,n_pfoa,LBXNFOA,male,20-39,270,0.011111111111111112,False,,0.7,0.9,1.2,1.7,2.3,3.0199999999999987,3.854999999999998
I,2015_2016,n_pfoa,LBXNFOA,male,40-59,247,0.008097165991902834,False,,0.7,1.0,1.3,2.0,2.6,3.5,4.2399999999999975
I,2015_2016,n_pfoa,LBXNFOA,male,60_plus,253,0.007905138339920948,False,,0.6,0.8,1.3,1.9,2.7,3.6,4.7399999999999975
I,2015_2016,n_pfoa,LBXNFOA,male,all_ages,964,0.008298755186721992,False,,0.6,0.9,1.2,1.7,2.4,3.2,4.08499999999999
I,2015_2016,n_pfos,LBXNFOS,all,12-19,353,0.0028328611898017,False,,0.8,0.9200000000000003,1.4,1.9,2.9,4.4,5.439999999999998
I,2015_2016,n_pfos,LBXNFOS,all,20-39,549,0.01092896174863388,False,,0.6,0.9,1.5,2.5,4.2,6.8199999999999985,8.560000000000002
I,2015_2016,n_pfos,LBXNFOS,all,40-59,555,0.0036036036036036037,False,,0.9,1.2,2.1,3.6,6.1,10.9,16.61999999999998
I,2015_2016,n_pfos,LBXNFOS,all,60_plus,536,0.0037313432835820895,False,,1.1,2.0,3.275,5.5,9.0,16.25,23.6
I,2015_2016,n_pfos,LBXNFOS,all,all_ages,1993,0.0055193176116407425,False,,0.8,1.1,1.8,3.1,5.7,10.1,15.6
I,2015_2016,n_pfos,LBXNFOS,female,12-19,159,0.0,False,,0.7,0.8,1.1,1.7,2.3,3.620000000000002,4.8
I,2015_2016,n_pfos,LBXNFOS,female,20-39,279,0.017921146953405017,False,,0.49000000000000005,0.7,1.1,1.8,2.8,4.320000000000002,6.3
I,2015_2016,n_pfos,LBXNFOS,female,40-59,308,0.003246753246753247,False,,0.7350000000000001,1.0700000000000003,1.6,2.75,4.3,8.1,11.894999999999992
I,2015_2016,n_pfos,LBXNFOS,female,60_plus,283,0.0035335689045936395,False,,1.1,1.7,2.8,4.7,7.5,14.600000000000005,19.79
I,2015_2016,n_pfos,LBXNFOS,female,all_ages,1029,0.006802721088435374,False,,0.7,0.9,1.4,2.5,4.5,8.1,13.3
