cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,n_pfoa,LBXNFOA,all,12-19,353,28742791.005893,0.0028328611898017,True,WTSB2YR,0.6,0.7,0.9,1.2,1.6,2.0,2.4717945195702873
I,2015_2016,n_pfoa,LBXNFOA,all,20-39,549,79256108.838349,0.014571948998178506,True,WTSB2YR,0.3,0.4,0.9,1.4,2.0,2.8,3.479671459432971
I,2015_2016,n_pfoa,LBXNFOA,all,40-59,555,81222986.922307,0.005405405405405406,True,WTSB2YR,0.5,0.7,1.1,1.6,2.4,3.3,3.8
I,2015_2016,n_pfoa,LBXNFOA,all,60_plus,536,62574289.962322995,0.007462686567164179,True,WTSB2YR,0.5,0.8,1.4,2.1,2.8,4.1,5.119557784938887
I,2015_2016,n_pfoa,LBXNFOA,all,all_ages,1993,251796176.728872,0.008028098344204716,True,WTSB2YR,0.4,0.6,1.0,1.5,2.4,3.3,4.1
I,2015_2016,n_pfoa,LBXNFOA,female,12-19,159,13241298.308639001,0.0,True,WTSB2YR,0.5,0.6,0.7,1.0,1.4,2.0,2.3
I,2015_2016,n_pfoa,LBXNFOA,female,20-39,279,39891209.352501,0.017921146953405017,True,WTSB2YR,0.2,0.3,0.6,1.0,1.5,2.4,3.1356486167645965
I,2015_2016,n_pfoa,LBXNFOA,female,40-59,308,41357318.546508,0.003246753246753247,True,WTSB2YR,0.4,0.6,0.9,1.3,2.1,3.042974302636783,4.120145309530477
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,283,34443876.600986004,0.007067137809187279,True,WTSB2YR,0.3,0.6843215047366199,1.3,2.1,2.892685754297954,4.106891054028431,6.74276972963938
I,2015_2016,n_pfoa,LBXNFOA,female,all_ages,1029,128933702.808634,0.007774538386783284,True,WTSB2YR,0.3,0.5,0.8,1.3,2.1,3.3,4.1
I,2015_2016,n_pfoa,LBXNFOA,male,12-19,194,15501492.697254,0.005154639175257732,True,WTSB2YR,0.7,0.8,1.0,1.3,1.7,2.0,2.620148642250404
I,2015_2016,n_pfoa,LBXNFOA,male,20-39,270,39364899.485848,0.011111111111111112,True,WTSB2YR,0.7,0.9688718413597243,1.3,1.7,2.3,3.0,3.5076112449988917
I,2015_2016,n_pfoa,LBXNFOA,male,40-59,247,39865668.375799,0.008097165991902834,True,WTSB2YR,0.5864181026856949,0.9,1.3,2.0,2.607714340980105,3.5,3.8
I,2015_2016,n_pfoa,LBXNFOA,male,60_plus,253,28130413.361337,0.007905138339920948,True,WTSB2YR,0.7,1.0,1.5,2.1,2.7652096787352614,4.1,5.058276004581807
I,2015_2016,n_pfoa,LBXNFOA,male,all_ages,964,122862473.920238,0.008298755186721992,True,WTSB2YR,0.7,0.9,1.3,1.8,2.5,3.3,4.0
I,2015_2016,n_pfos,LBXNFOS,all,12-19,353,28742791.005893,0.0028328611898017,True,WTSB2YR,0.8,1.0,1.5,2.078991572122195,3.1,4.4,5.1
I,2015_2016,n_pfos,LBXNFOS,all,20-39,549,79256108.838349,0.01092896174863388,True,WTSB2YR,0.6,0.9,1.5,2.5,4.2,6.9,8.289425055689232
