cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,race_ethnicity,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,n_pfoa,LBXNFOA,all,12-19,all,353,28742791.005893,0.0028328611898017,True,WTSB2YR,0.6,0.7,0.9,1.2,1.6,2.0,2.4717945195702873
I,2015_2016,n_pfoa,LBXNFOA,all,12-19,hispanic,130,6997824.27094,0.0,True,WTSB2YR,0.5,0.6,0.7,0.9,1.2,1.6057238541012633,1.8
I,2015_2016,n_pfoa,LBXNFOA,all,12-19,nh_asian,39,1377664.71959,0.0,True,WTSB2YR,0.41415817092772417,0.6,0.8316712800458879,1.7,2.2989229455669724,3.807318158402442,8.92272528894103
I,2015_2016,n_pfoa,LBXNFOA,all,12-19,nh_black,67,3407447.6515,0.0,True,WTSB2YR,0.5,0.6,0.8,1.0,1.415135520011154,2.300797453004822,2.724713961629866
I,2015_2016,n_pfoa,LBXNFOA,all,12-19,nh_white,98,15658118.155892,0.01020408163265306,True,WTSB2YR,0.7,0.7,1.1,1.3,1.6598887788213028,2.0,2.4
I,2015_2016,n_pfoa,LBXNFOA,all,20-39,all,549,79256108.838349,0.014571948998178506,True,WTSB2YR,0.3,0.4,0.9,1.4,2.0,2.8,3.479671459432971
I,2015_2016,n_pfoa,LBXNFOA,all,20-39,hispanic,169,16550408.021005,0.005917159763313609,True,WTSB2YR,0.3,0.42744834515055435,0.7185509855176824,1.2,1.8,2.5,2.7
I,2015_2016,n_pfoa,LBXNFOA,all,20-39,nh_asian,70,5248054.9008760005,0.0,True,WTSB2YR,0.6,0.7389730534068685,1.0741503179319998,1.7,2.2,3.3260809078468263,6.0
I,2015_2016,n_pfoa,LBXNFOA,all,20-39,nh_black,123,10067450.671602001,0.04065040650406504,True,WTSB2YR,0.12054639914444625,0.3,0.6,1.0,1.5,2.555315162804643,3.4178335155060573
I,2015_2016,n_pfoa,LBXNFOA,all,20-39,nh_white,160,43958961.62981,0.0125,True,WTSB2YR,0.3,0.40275623211553935,1.0,1.4,2.1,3.0,3.8075699480212832
I,2015_2016,n_pfoa,LBXNFOA,all,20-39,other,27,3431233.6150559997,0.0,True,WTSB2YR,0.5045737791361433,0.6,1.0460889014097894,1.4,1.782992337165971,2.4572843360455803,2.702392725729337
I,2015_2016,n_pfoa,LBXNFOA,all,40-59,all,555,81222986.922307,0.005405405405405406,True,WTSB2YR,0.5,0.7,1.1,1.6,2.4,3.3,3.8
I,2015_2016,n_pfoa,LBXNFOA,all,40-59,hispanic,160,12426200.795291,0.00625,True,WTSB2YR,0.3462044336547865,0.5,0.7358976601743715,1.4,2.0,2.939762484938316,3.7244909052970745
I,2015_2016,n_pfoa,LBXNFOA,all,40-59,nh_asian,70,4616352.381093999,0.0,True,WTSB2YR,0.5910938219833148,0.727145260556395,1.1516669701779718,1.6946654973394144,2.4,3.5120729953504317,4.5
I,2015_2016,n_pfoa,LBXNFOA,all,40-59,nh_black,148,9166387.196807,0.006756756756756757,True,WTSB2YR,0.3,0.6,1.0,1.6,2.2977404388584555,3.3,3.789542014772724
I,2015_2016,n_pfoa,LBXNFOA,all,40-59,nh_white,152,51452850.669078,0.006578947368421052,True,WTSB2YR,0.5433622181906925,0.8312235545722003,1.1,1.7307655688647452,2.4811248684980676,3.461691005421005,3.8375959175718415
I,2015_2016,n_pfoa,LBXNFOA,all,40-59,other,25,3561195.880037,0.0,True,WTSB2YR,0.5,1.1260461690898695,1.3,1.7,1.8,3.2884157846365394,3.8
I,2015_2016,n_pfoa,LBXNFOA,all,60_plus,all,536,62574289.962322995,0.007462686567164179,True,WTSB2YR,0.5,0.8,1.4,2.1,2.8,4.1,5.119557784938887
I,2015_2016,n_pfoa,LBXNFOA,all,60_plus,hispanic,170,5302997.298882,0.0058823529411764705,True,WTSB2YR,0.627411006502881,0.8,1.2,1.6,2.3,3.1390779918577327,4.008155345320762
I,2015_2016,n_pfoa,LBXNFOA,all,60_plus,nh_asian,41,2781940.777012,0.0,True,WTSB2YR,0.3,0.5,0.8972708705793198,1.852251188812656,2.6667461851814096,3.8473849080828013,4.615258594498003
I,2015_2016,n_pfoa,LBXNFOA,all,60_plus,nh_black,101,5428775.014383999,0.0,True,WTSB2YR,0.5523095647242409,0.7869056623418337,1.4,2.0359920997593166,3.2,4.692464977663202,6.4
I,2015_2016,n_pfoa,LBXNFOA,all,60_plus,nh_white,209,46494281.672055006,0.009569377990430622,True,WTSB2YR,0.5499616687693927,0.8,1.5,2.2,2.8922145030116986,4.4,5.500621748422718
I,2015_2016,n_pfoa,LBXNFOA,all,all_ages,all,1993,251796176.728872,0.008028098344204716,True,WTSB2YR,0.4,0.6,1.0,1.5,2.4,3.3,4.1
I,2015_2016,n_pfoa,LBXNFOA,all,all_ages,hispanic,629,41277430.386118,0.0047694753577106515,True,WTSB2YR,0.4,0.5,0.8,1.2,1.8,2.6,3.1
I,2015_2016,n_pfoa,LBXNFOA,all,all_ages,nh_asian,220,14024012.778572,0.0,True,WTSB2YR,0.4094304675369264,0.6,1.0,1.7,2.3,3.7052441184408402,4.660380138560855
I,2015_2016,n_pfoa,LBXNFOA,all,all_ages,nh_black,439,28070060.534293003,0.01366742596810934,True,WTSB2YR,0.3,0.5,0.8,1.3568714611478792,2.1,3.3,3.926365484084107
I,2015_2016,n_pfoa,LBXNFOA,all,all_ages,nh_white,619,157564212.126835,0.009693053311793215,True,WTSB2YR,0.45993396212353144,0.7,1.1,1.7,2.5,3.4,4.4
I,2015_2016,n_pfoa,LBXNFOA,all,all_ages,other,86,10860460.903053999,0.011627906976744186,True,WTSB2YR,0.5019387364214095,0.7,1.1,1.5,1.9,3.2288196933479107,3.8
I,2015_2016,n_pfoa,LBXNFOA,female,12-19,all,159,13241298.308639001,0.0,True,WTSB2YR,0.5,0.6,0.7,1.0,1.4,2.0,2.3
I,2015_2016,n_pfoa,LBXNFOA,female,12-19,hispanic,62,3320681.6672730003,0.0,True,WTSB2YR,0.3434395838378989,0.5,0.6,0.8,1.0,1.4211316937591956,1.7614048758872713
I,2015_2016,n_pfoa,LBXNFOA,female,12-19,nh_black,29,1613688.629108,0.0,True,WTSB2YR,0.5,0.6,0.793124485961375,0.8860740763851003,1.2616432202120735,2.5,3.2426170449389637
I,2015_2016,n_pfoa,LBXNFOA,female,12-19,nh_white,41,7159442.8358539995,0.0,True,WTSB2YR,0.650636361770021,0.7,0.9,1.229460347674257,1.5,2.0323478791691545,2.1989792723364356
I,2015_2016,n_pfoa,LBXNFOA,female,20-39,all,279,39891209.352501,0.017921146953405017,True,WTSB2YR,0.2,0.3,0.6,1.0,1.5,2.4,3.1356486167645965
I,2015_2016,n_pfoa,LBXNFOA,female,20-39,hispanic,81,8115226.920485,0.012345679012345678,True,WTSB2YR,0.14852705650398002,0.3131162510715948,0.5,0.8,1.2,1.671285596962799,2.429060899445866
I,2015_2016,n_pfoa,LBXNFOA,female,20-39,nh_asian,32,2564784.07949,0.0,True,WTSB2YR,0.3,0.6,0.9490727079058522,1.4449052023797848,2.3,3.5811262825029613,5.40656921611473
I,2015_2016,n_pfoa,LBXNFOA,female,20-39,nh_black,72,5665138.134535999,0.05555555555555555,True,WTSB2YR,0.07,0.2,0.4,0.7773679892556237,1.1,1.5,1.9600280441458615
I,2015_2016,n_pfoa,LBXNFOA,female,20-39,nh_white,83,22087273.745704,0.0,True,WTSB2YR,0.27356219962907435,0.38154872739042445,0.6,1.066381966279718,1.6,2.68717059682142,3.8999480480017468
I,2015_2016,n_pfoa,LBXNFOA,female,40-59,all,308,41357318.546508,0.003246753246753247,True,WTSB2YR,0.4,0.6,0.9,1.3,2.1,3.042974302636783,4.120145309530477
I,2015_2016,n_pfoa,LBXNFOA,female,40-59,hispanic,95,6171876.5962189995,0.0,True,WTSB2YR,0.4,0.5,0.6,0.9,1.7,2.7071147713506596,4.895582907352909
I,2015_2016,n_pfoa,LBXNFOA,female,40-59,nh_asian,37,2480785.0020250003,0.0,True,WTSB2YR,0.5169256974877418,0.696736573597461,1.2,1.5924195052369448,2.1,2.8401812698105644,3.3591920499646384
I,2015_2016,n_pfoa,LBXNFOA,female,40-59,nh_black,93,5191054.809218001,0.010752688172043012,True,WTSB2YR,0.3,0.4,0.8,1.2,1.9019490954248994,3.1296029838923554,3.98247760710591
I,2015_2016,n_pfoa,LBXNFOA,female,40-59,nh_white,72,25350748.998661,0.0,True,WTSB2YR,0.45626770304442266,0.8079777771730952,1.0,1.3056336966195885,2.3,3.296394083161222,4.159229333469026
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,all,283,34443876.600986004,0.007067137809187279,True,WTSB2YR,0.3,0.6843215047366199,1.3,2.1,2.892685754297954,4.106891054028431,6.74276972963938
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,hispanic,100,3016024.7727549993,0.0,True,WTSB2YR,0.7,0.8,1.1,1.6,2.3,3.6470121668784317,4.886084535858315
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,nh_asian,21,1504672.714996,0.0,True,WTSB2YR,0.40064115583738064,0.5,0.7285810220363529,2.0478607993047104,2.6492516914845314,3.3446750668704373,4.183065662239196
