threshold,precision_detect,recall_detect,f1_detect,predicted_positive_rate,flags_per_10k,false_positives,true_positives,false_positives_per_true_positive
0.0,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.001,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.002,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.003,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.004,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.005,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.006,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.007,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.008,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.009000000000000001,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.01,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.011,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.012,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.013000000000000001,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.014,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.015,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.016,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.017,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.018000000000000002,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.019,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.02,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.021,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.022,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.023,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.024,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.025,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.026000000000000002,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.027,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.028,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.029,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.03,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.031,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.032,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.033,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.034,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.035,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.036000000000000004,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.037,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.038,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.039,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.04,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.041,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
0.042,0.8215,1.0,0.9020038429865496,1.0,10000.0,357,1643,0.2172854534388314
